NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB
CAPAC.ST;CAPACENT HOLDING;52.9;138;54.8;147;61.4;314;56.4;199;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPAC.ST
CAPIO.ST;CAPIO;33.3;96;47.5;101;50.0;112;43.6;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPIO.ST
CASO.ST;CASSANDRA OIL;75.0;242;66.7;246;66.1;426;69.3;304;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CASO.ST
CAST.ST;CASTELLUM;52.6;106;54.1;121;50.6;125;52.4;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAST.ST
CAT-A.ST;CATELLA A;75.0;129;57.6;142;60.0;164;64.2;145;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-A.ST
CAT-B.ST;CATELLA B;48.0;100;53.5;121;53.2;146;51.6;122;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-B.ST
CATE.ST;CATENA;66.7;105;62.5;122;58.6;134;62.6;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CATE.ST
CBA.ST;CYBAERO;62.5;118;69.7;567;65.2;1035;65.8;573;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST
CBTT-B.ST;CHRISTIAN BERNER TECH TRADE;52.9;101;51.5;108;46.4;104;50.3;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBTT-B.ST
CCC.ST;CAVOTEC;61.5;106;53.3;117;58.3;216;57.7;146;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCC.ST
CCOR-B.ST;CONCORDIA MARITIME B;63.6;112;42.9;90;45.0;94;50.5;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCOR-B.ST
CE.ST;CORTUS ENERGY;57.1;155;65.6;540;67.2;5463;63.3;2052;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST
CELLNK-B.ST;CELLINK;69.6;170;69.2;220;70.7;280;69.8;223;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CELLNK-B.ST
CEVI.ST;CELLAVISION;65.4;122;65.9;240;67.4;747;66.2;369;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST
CFISH.ST;CRUNCHFISH;50.0;141;50.0;352;50.0;378;50.0;290;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CFISH.ST
CHRO.ST;CHROMOGENICS;83.3;171;88.9;211;88.9;211;87.0;197;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST
CI-B.ST;CELL IMPACT B;50.0;217;40.0;204;56.1;1026;48.7;482;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST
CINN.ST;CINNO FIN TECH;66.7;124;63.9;133;64.7;279;65.1;178;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST
CLA-B.ST;CLOETTA B;70.6;115;56.4;100;52.6;148;59.9;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLA-B.ST
CLAS-B.ST;CLAS OHLSON B;54.2;99;51.2;113;49.4;137;51.6;116;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAS-B.ST
CLAV.ST;CLAVISTER HOLDING;76.9;212;69.7;397;71.4;765;72.7;458;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAV.ST
CLBIO.ST;CORLINE BIOMED;52.9;106;48.6;121;51.4;295;51.0;174;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLBIO.ST
CLDRE-B.NGM;CLOUDREPUBLIC;55.0;52;52.2;44;52.2;44;53.1;46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLDRE-B.NGM
CLEANT-A.ST;CLEANTECH INVEST;;;;;;;;;
CLEM.ST;CLEMENDO GROUP;71.4;99;53.3;96;53.3;182;59.3;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEM.ST
CLEMO.ST;CLEAN MOTION;61.5;140;54.8;186;53.2;191;56.5;172;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEMO.ST
CLS-B.ST;CLINICAL LASERTHERMIA SYSTEMS B;60.0;224;64.5;336;52.2;533;58.9;364;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLS-B.ST
CLX.ST;CLX COMMUNICATIONS;50.0;142;50.0;159;48.4;254;49.5;185;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLX.ST
CMOTEC-B.ST;SCANDINAVIAN CHEMOTECH;57.1;231;64.3;280;63.3;277;61.6;262;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CMOTEC-B.ST
COGS.ST;COGNOSEC;75.0;168;57.7;283;58.3;494;63.7;315;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST
COIC.ST;CONCENTRIC;45.8;117;54.5;131;55.6;180;52.0;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COIC.ST
COLL.ST;COLLECTOR;72.2;122;53.8;102;56.6;164;60.9;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COLL.ST
COMH.ST;COM HEM HOLDING;66.7;114;57.6;124;55.6;166;60.0;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMH.ST
